,second_name,team,player_code,now_cost,total_points,photo,position,value
151,Pulisic,Chelsea,176413,8.2,38,176413.jpg,Midfielder,4.6
152,Mount,Chelsea,184341,6.8,76,184341.jpg,Midfielder,11.2
154,Hudson-Odoi,Chelsea,209046,5.7,39,209046.jpg,Midfielder,6.8
155,James,Chelsea,225796,5.0,58,225796.jpg,Defender,11.6
156,Gilmour,Chelsea,243568,4.4,2,243568.jpg,Midfielder,0.5
157,Chilwell,Chelsea,172850,6.0,85,172850.jpg,Defender,14.2
158,Thiago,Chelsea,51090,5.6,77,51090.jpg,Defender,13.8
159,Havertz,Chelsea,219847,8.2,45,219847.jpg,Midfielder,5.5
160,Mendy,Chelsea,228286,5.1,72,228286.jpg,Goalkeeper,14.1
163,Batshuayi,Crystal Palace,94245,5.7,31,94245.jpg,Forward,5.4
164,Cahill,Crystal Palace,19419,4.5,15,19419.jpg,Defender,3.3
166,Sakho,Crystal Palace,40784,4.4,4,40784.jpg,Defender,0.9
167,Guaita,Crystal Palace,40836,4.8,75,40836.jpg,Goalkeeper,15.6
168,Tomkins,Crystal Palace,49413,4.5,15,49413.jpg,Defender,3.3
169,McArthur,Crystal Palace,50471,5.2,45,50471.jpg,Midfielder,8.7
170,McCarthy,Crystal Palace,50472,4.3,13,50472.jpg,Midfielder,3.0
171,Benteke,Crystal Palace,54861,5.5,40,54861.jpg,Forward,7.3
172,Kouyaté,Crystal Palace,55037,4.9,52,55037.jpg,Midfielder,10.6
173,Ward,Crystal Palace,55494,4.3,30,55494.jpg,Defender,7.0
176,Townsend,Crystal Palace,60252,5.6,60,60252.jpg,Midfielder,10.7
177,Milivojevic,Crystal Palace,66975,5.6,27,66975.jpg,Midfielder,4.8
178,van Aanholt,Crystal Palace,74230,5.4,29,74230.jpg,Defender,5.4
179,Ayew,Crystal Palace,80146,5.6,43,80146.jpg,Forward,7.7
180,Zaha,Crystal Palace,82403,7.2,102,82403.jpg,Midfielder,14.2
181,Schlupp,Crystal Palace,86417,5.3,44,86417.jpg,Midfielder,8.3
183,Riedewald,Crystal Palace,173954,4.4,41,173954.jpg,Midfielder,9.3
185,Mitchell,Crystal Palace,244723,3.9,32,244723.jpg,Defender,8.2
187,Dann,Crystal Palace,19188,4.3,31,19188.jpg,Defender,7.2
188,Eze,Crystal Palace,232413,5.8,72,232413.jpg,Midfielder,12.4
191,Clyne,Crystal Palace,57328,4.5,26,57328.jpg,Defender,5.8
195,Delph,Everton,41823,4.8,6,41823.jpg,Midfielder,1.2
196,Sigurdsson,Everton,55422,6.8,63,55422.jpg,Midfielder,9.3
198,Coleman,Everton,59949,4.8,23,59949.jpg,Defender,4.8
199,Tosun,Everton,66838,6.0,4,66838.jpg,Forward,0.7
200,Anício Caldeira Duarte,Everton,100649,5.7,13,100649.jpg,Midfielder,2.3
201,Digne,Everton,101188,6.1,47,101188.jpg,Defender,7.7
202,Keane,Everton,106611,5.1,68,106611.jpg,Defender,13.3
203,Pickford,Everton,111234,4.8,50,111234.jpg,Goalkeeper,10.4
204,Tavares Gomes,Everton,120250,5.3,25,120250.jpg,Midfielder,4.7
205,Iwobi,Everton,153133,5.9,49,153133.jpg,Midfielder,8.3
206,Kenny,Everton,153673,4.3,5,153673.jpg,Defender,1.2
208,Mina,Everton,164511,5.5,61,164511.jpg,Defender,11.1
209,Davies,Everton,173807,5.2,20,173807.jpg,Midfielder,3.8
210,Calvert-Lewin,Everton,177815,7.6,108,177815.jpg,Forward,14.2
211,Holgate,Everton,194164,4.8,37,194164.jpg,Defender,7.7
212,de Andrade,Everton,212319,7.8,56,212319.jpg,Forward,7.2
214,Gordon,Everton,232826,4.3,3,232826.jpg,Midfielder,0.7
215,Kean,Everton,242058,5.7,2,242058.jpg,Forward,0.4
217,Marques Loureiro,Everton,119765,5.2,21,119765.jpg,Midfielder,4.0
218,Rodríguez,Everton,60025,7.7,61,60025.jpg,Midfielder,7.9
219,Doucouré,Everton,121599,5.2,49,121599.jpg,Midfielder,9.4
220,Nkounkou,Everton,495542,4.0,1,495542.jpg,Defender,0.2
221,Godfrey,Everton,198826,5.0,35,198826.jpg,Defender,7.0
222,Olsen,Everton,111782,4.5,10,111782.jpg,Goalkeeper,2.2
225,King,Everton,78007,5.5,1,78007.jpg,Forward,0.2
226,Loftus-Cheek,Fulham,126187,5.9,39,126187.jpg,Midfielder,6.6
229,Le Marchand,Fulham,61739,4.1,1,61739.jpg,Defender,0.2
231,Cairney,Fulham,76357,5.2,27,76357.jpg,Midfielder,5.2
232,Ream,Fulham,82514,4.2,7,82514.jpg,Defender,1.7
236,Kebano,Fulham,92259,4.7,6,92259.jpg,Midfielder,1.3
237,Decordova-Reid,Fulham,96994,5.3,57,96994.jpg,Forward,10.8
238,Bryan,Fulham,101105,4.6,12,101105.jpg,Defender,2.6
240,Mitrović,Fulham,128389,5.5,45,128389.jpg,Forward,8.2
242,Rodák,Fulham,155529,4.3,1,155529.jpg,Goalkeeper,0.2
243,Neves Abreu Cavaleiro,Fulham,166324,5.3,52,166324.jpg,Midfielder,9.8
244,Onomah,Fulham,168765,4.6,5,168765.jpg,Midfielder,1.1
246,Kamara,Fulham,197030,4.8,8,197030.jpg,Midfielder,1.7
247,Zambo Anguissa,Fulham,203325,4.5,52,203325.jpg,Midfielder,11.6
249,Reed,Fulham,153366,4.4,35,153366.jpg,Midfielder,8.0
250,Robinson,Fulham,169528,4.4,33,169528.jpg,Defender,7.5
251,Lemina,Fulham,151086,4.5,18,151086.jpg,Midfielder,4.0
252,Areola,Fulham,84182,4.5,71,84182.jpg,Goalkeeper,15.8
253,Tete,Fulham,167074,4.3,14,167074.jpg,Defender,3.3
254,Odoi,Fulham,72681,4.2,1,72681.jpg,Defender,0.2
255,Lookman,Fulham,219352,5.0,62,219352.jpg,Midfielder,12.4
256,Aina,Fulham,159506,4.5,53,159506.jpg,Defender,11.8
257,Andersen,Fulham,174874,4.5,38,174874.jpg,Defender,8.4
258,Adarabioyo,Fulham,109646,4.5,51,109646.jpg,Defender,11.3
260,Morgan,Leicester,15033,4.4,3,15033.jpg,Defender,0.7
261,Schmeichel,Leicester,17745,5.5,90,17745.jpg,Goalkeeper,16.4
262,Fuchs,Leicester,37402,4.5,24,37402.jpg,Defender,5.3
263,Evans,Leicester,37642,5.5,61,37642.jpg,Defender,11.1
265,Albrighton,Leicester,51938,5.3,37,51938.jpg,Midfielder,7.0
268,Vardy,Leicester,101668,10.0,116,101668.jpg,Forward,11.6
269,Praet,Leicester,106837,5.2,35,106837.jpg,Midfielder,6.7
270,Barbosa Pereira,Leicester,111931,5.9,7,111931.jpg,Defender,1.2
271,Amartey,Leicester,155569,3.9,4,155569.jpg,Defender,1.0
272,Tielemans,Leicester,166989,6.4,89,166989.jpg,Midfielder,13.9
273,Pérez,Leicester,168580,6.0,33,168580.jpg,Midfielder,5.5
274,Gray,Leicester,172632,5.1,1,172632.jpg,Midfielder,0.2
275,Maddison,Leicester,172780,7.3,100,172780.jpg,Midfielder,13.7
276,Iheanacho,Leicester,173515,5.6,16,173515.jpg,Forward,2.9
277,Choudhury,Leicester,197469,4.7,5,197469.jpg,Midfielder,1.1
278,Barnes,Leicester,201666,6.9,97,201666.jpg,Midfielder,14.1
279,Ndidi,Leicester,203341,4.8,32,203341.jpg,Midfielder,6.7
